t, omega, theta, x, y
2.58, 72.0, 92.16, -0.002449861873545733, 0.0649538157216383
2.59, 72.0, 92.87999999999997, -0.0032658806816849876, 0.06491790217939114
2.6, 72.0, 93.6, -0.004081383769405357, 0.06487173734783766
2.61, 72.0, 94.31999999999996, -0.004896242359315593, 0.06481532851693991
2.62, 72.0, 95.03999999999999, -0.005710327775798293, 0.06474868459430622
2.63, 72.0, 95.75999999999999, -0.006523511465328961, 0.06467181610378452
2.64, 72.0, 96.47999999999999, -0.0073356650167762955, 0.06458473518380055
2.65, 72.0, 97.19999999999999, -0.008146660181679755, 0.06448745558544107
2.66, 72.0, 97.91999999999999, -0.008956368894501458, 0.06437999267028234
2.67, 72.0, 98.63999999999999, -0.009764663292849186, 0.06426236340796442
2.68, 72.0, 99.35999999999999, -0.01057141573766742, 0.06413458637351144
2.69, 72.0, 100.07999999999998, -0.011376498833392921, 0.06399668174439836
2.7, 72.0, 100.80000000000001, -0.012179785448072114, 0.06384867129736477
2.71, 72.0, 101.51999999999998, -0.012981148733436434, 0.06369057840497605
2.72, 72.0, 102.24000000000001, -0.013780462144933564, 0.06352242803193257
2.73, 72.0, 102.95999999999998, -0.014577599461709754, 0.06334424673112753
2.74, 72.0, 103.68, -0.015372434806542115, 0.06315606263945381
2.75, 72.0, 104.39999999999998, -0.016164842665715537, 0.06295790547336103
2.7600000000000002, 72.0, 105.12, -0.016954697908843297, 0.0627498065241628
2.77, 72.0, 105.84, -0.017741875808626142, 0.06253179865309558
2.7800000000000002, 72.0, 106.56, -0.018526252060548445, 0.06230391628612944
2.79, 72.0, 107.28, -0.019307702802507275, 0.062066195408531796
2.8000000000000003, 72.0, 108.0, -0.020086104634371577, 0.06181867355918499
2.81, 72.0, 108.72, -0.020861334637468622, 0.06156138982465838
2.82, 72.0, 109.43999999999997, -0.021633270393994097, 0.0612943848330362
2.83, 72.0, 110.16, -0.022401790006343597, 0.061017700747501825
2.84, 72.0, 110.87999999999997, -0.023166772116361263, 0.0607313812596798
2.85, 72.0, 111.6, -0.023928095924504053, 0.06043547158273635
2.86, 72.0, 112.31999999999996, -0.02468564120891704, 0.06013001844423979
2.87, 72.0, 113.03999999999999, -0.025439288344418144, 0.059815070078781576
2.88, 72.0, 113.75999999999999, -0.026188918321388067, 0.059490676220359646
2.89, 72.0, 114.47999999999999, -0.026934412764563456, 0.059156888094524726
2.9, 72.0, 115.19999999999999, -0.027675653951729703, 0.05881375841029128
2.91, 72.0, 115.91999999999999, -0.028412524832310628, 0.058461341351814126
2.92, 72.0, 116.63999999999999, -0.02914490904585209, 0.058099692569832155
2.93, 72.0, 117.35999999999999, -0.029872690940396684, 0.05772886917288041
2.94, 72.0, 118.07999999999998, -0.030595755590746596, 0.057348929718271976
2.95, 72.0, 118.80000000000001, -0.0313139888166115, 0.05695993420285113
2.96, 72.0, 119.51999999999998, -0.03202727720063894, 0.05656194405351917
2.97, 72.0, 120.24000000000001, -0.03273550810632445, 0.0561550221175343
2.98, 72.0, 120.95999999999998, -0.0334385696957979, 0.05573923265258741
2.99, 72.0, 121.68, -0.03413635094748423, 0.055314641316654964
3.0, 72.0, 122.39999999999998, -0.03482874167363475, 0.054881315157631005
3.0100000000000002, 72.0, 123.12, -0.035515632537727486, 0.05443932260273922
3.02, 72.0, 123.84, -0.03619691507173223, 0.053988733447727824
3.0300000000000002, 72.0, 124.56, -0.03687248169323918, 0.05352961884584778
3.04, 72.0, 125.28, -0.037542225722447385, 0.053062051296616966
3.0500000000000003, 72.0, 126.0, -0.03820604139901075, 0.052586104634371585
3.06, 72.0, 126.72, -0.038863823898738735, 0.052101854016606976
3.0700000000000003, 72.0, 127.44, -0.03951546935014936, 0.0516093759121093
3.08, 72.0, 128.16, -0.040160874850871726, 0.05110874808888024
3.09, 72.0, 128.87999999999997, -0.0407999384838955, 0.050600049601856545
3.1, 72.0, 129.6, -0.04143255933366483, 0.0500833607804263
3.11, 72.0, 130.31999999999996, -0.04205863750201384, 0.049558763215744144
3.12, 72.0, 131.04, -0.04267807412394216, 0.04902633974784676
3.13, 72.0, 131.76, -0.04329077138322635, 0.04848617445257185
3.14, 72.0, 132.48, -0.04389663252786658, 0.047938352628281306
3.15, 72.0, 133.2, -0.04449556188536475, 0.047382960782391764
3.16, 72.0, 133.92, -0.04508746487783231, 0.04682008661771396
3.17, 72.0, 134.64, -0.04567224803692519, 0.046249819018603554
3.18, 72.0, 135.35999999999999, -0.046249819018603526, 0.04567224803692522
3.19, 72.0, 136.07999999999998, -0.04682008661771393, 0.04508746487783234
3.2, 72.0, 136.8, -0.04738296078239176, 0.04449556188536476
3.21, 72.0, 137.51999999999998, -0.0479383526282813, 0.0438966325278666
3.22, 72.0, 138.24, -0.04848617445257184, 0.04329077138322636
3.23, 72.0, 138.95999999999998, -0.04902633974784673, 0.04267807412394219
3.24, 72.0, 139.68, -0.04955876321574412, 0.04205863750201388
3.25, 72.0, 140.39999999999998, -0.05008336078042627, 0.04143255933366486
3.2600000000000002, 72.0, 141.12, -0.05060004960185652, 0.040799938483895536
3.27, 72.0, 141.84, -0.05110874808888023, 0.04016087485087173
3.2800000000000002, 72.0, 142.56, -0.051609375912109304, 0.039515469350149345
3.29, 72.0, 143.28, -0.05210185401660697, 0.03886382389873874
3.3000000000000003, 72.0, 144.0, -0.05258610463437158, 0.038206041399010765
3.31, 72.0, 144.72, -0.05306205129661696, 0.0375422257224474
3.3200000000000003, 72.0, 145.44, -0.05352961884584779, 0.036872481693239166
3.33, 72.0, 146.16, -0.05398873344772782, 0.036196915071732234
3.34, 72.0, 146.87999999999997, -0.0544393226027392, 0.03551563253772752
3.35, 72.0, 147.6, -0.054881315157630985, 0.03482874167363478
3.36, 72.0, 148.31999999999996, -0.05531464131665494, 0.03413635094748427
3.37, 72.0, 149.04, -0.05573923265258739, 0.033438569695797934
3.38, 72.0, 149.76, -0.056155022117534294, 0.03273550810632446
3.39, 72.0, 150.48, -0.05656194405351917, 0.03202727720063895
3.4, 72.0, 151.2, -0.05695993420285113, 0.031313988816611515
3.41, 72.0, 151.92, -0.057348929718271956, 0.030595755590746634
3.42, 72.0, 152.64, -0.05772886917288039, 0.02987269094039672
3.43, 72.0, 153.35999999999999, -0.058099692569832134, 0.029144909045852124
3.44, 72.0, 154.07999999999998, -0.058461341351814106, 0.028412524832310663
3.45, 72.0, 154.8, -0.058813758410291274, 0.027675653951729714
3.46, 72.0, 155.51999999999998, -0.05915688809452472, 0.02693441276456348
3.47, 72.0, 156.24, -0.05949067622035964, 0.026188918321388078
3.48, 72.0, 156.95999999999998, -0.05981507007878156, 0.025439288344418182
3.49, 72.0, 157.68, -0.06013001844423978, 0.024685641208917065
3.5, 72.0, 158.39999999999998, -0.06043547158273632, 0.023928095924504105
3.5100000000000002, 72.0, 159.12, -0.060731381259679786, 0.023166772116361305
3.52, 72.0, 159.84, -0.06101770074750182, 0.02240179000634361
3.5300000000000002, 72.0, 160.56, -0.061294384833036196, 0.021633270393994125
3.54, 72.0, 161.28, -0.06156138982465838, 0.020861334637468632
3.5500000000000003, 72.0, 162.0, -0.06181867355918498, 0.020086104634371587
3.56, 72.0, 162.72, -0.062066195408531796, 0.019307702802507272
3.5700000000000003, 72.0, 163.44, -0.06230391628612944, 0.018526252060548445
3.58, 72.0, 164.16, -0.06253179865309558, 0.017741875808626153
3.59, 72.0, 164.87999999999997, -0.0627498065241628, 0.01695469790884334
3.6, 72.0, 165.6, -0.06295790547336103, 0.016164842665715565
3.61, 72.0, 166.32, -0.06315606263945381, 0.015372434806542127
3.62, 72.0, 167.04000000000002, -0.06334424673112753, 0.014577599461709766
3.63, 72.0, 167.76, -0.06352242803193257, 0.013780462144933562
3.64, 72.0, 168.48000000000002, -0.06369057840497605, 0.012981148733436431
3.65, 72.0, 169.2, -0.06384867129736477, 0.012179785448072127
3.66, 72.0, 169.92000000000002, -0.06399668174439836, 0.011376498833392932
3.67, 72.0, 170.64, -0.06413458637351142, 0.010571415737667445
3.68, 72.0, 171.36, -0.06426236340796442, 0.009764663292849184
3.69, 72.0, 172.08000000000004, -0.06437999267028234, 0.008956368894501443
3.7, 72.0, 172.8, -0.06448745558544107, 0.008146660181679767
3.71, 72.0, 173.52000000000004, -0.06458473518380055, 0.007335665016776264
3.72, 72.0, 174.24, -0.06467181610378452, 0.006523511465328974
3.73, 72.0, 174.96000000000004, -0.06474868459430622, 0.005710327775798277
3.74, 72.0, 175.68, -0.06481532851693991, 0.004896242359315619
3.75, 72.0, 176.40000000000003, -0.06487173734783766, 0.004081383769405325
3.7600000000000002, 72.0, 177.12, -0.06491790217939114, 0.003265880681685028
3.77, 72.0, 177.84000000000003, -0.0649538157216383, 0.002449861873545716
3.7800000000000002, 72.0, 178.56000000000006, -0.06497947230341451, 0.0016334562038168713
3.79, 72.0, 179.28000000000003, -0.06499486787324806, 0.0008167925924178767
3.8000000000000003, 72.0, 180.00000000000006, -0.065, -4.9771393086050345e-17
3.81, 72.0, 180.72000000000003, -0.06499486787324806, -0.0008167925924179474
3.8200000000000003, 72.0, 181.44000000000005, -0.0649794723034145, -0.0016334562038169999
3.83, 72.0, 182.16000000000003, -0.0649538157216383, -0.002449861873545758
3.84, 72.0, 182.88, -0.06491790217939114, -0.0032658806816850123
3.85, 72.0, 183.60000000000002, -0.06487173734783766, -0.004081383769405395
3.86, 72.0, 184.32, -0.06481532851693991, -0.004896242359315603
3.87, 72.0, 185.04000000000002, -0.06474868459430622, -0.005710327775798317
3.88, 72.0, 185.76, -0.06467181610378452, -0.006523511465328958
3.89, 72.0, 186.48000000000002, -0.06458473518380055, -0.0073356650167763346
3.9, 72.0, 187.2, -0.06448745558544107, -0.00814666018167975
3.91, 72.0, 187.92000000000002, -0.06437999267028233, -0.008956368894501484
3.92, 72.0, 188.64, -0.06426236340796442, -0.009764663292849196
3.93, 72.0, 189.36, -0.06413458637351142, -0.010571415737667459
3.94, 72.0, 190.08000000000004, -0.06399668174439835, -0.011376498833392973
3.95, 72.0, 190.8, -0.06384867129736477, -0.012179785448072111
3.96, 72.0, 191.52000000000004, -0.06369057840497604, -0.0129811487334365
3.97, 72.0, 192.24, -0.06352242803193257, -0.013780462144933546
3.98, 72.0, 192.96000000000004, -0.06334424673112751, -0.014577599461709808
3.99, 72.0, 193.68, -0.06315606263945381, -0.015372434806542112
4.0, 72.0, 194.40000000000003, -0.06295790547336101, -0.016164842665715603
4.01, 72.0, 195.12, -0.0627498065241628, -0.016954697908843294
4.0200000000000005, 72.0, 195.84000000000003, -0.06253179865309558, -0.01774187580862617
4.03, 72.0, 196.56000000000006, -0.06230391628612942, -0.01852625206054851
4.04, 72.0, 197.28000000000003, -0.06206619540853178, -0.01930770280250731
4.05, 72.0, 198.0, -0.06181867355918499, -0.020086104634371573
4.0600000000000005, 72.0, 198.72000000000003, -0.06156138982465837, -0.020861334637468643
4.07, 72.0, 199.44000000000005, -0.061294384833036175, -0.02163327039399419
4.08, 72.0, 200.16000000000003, -0.06101770074750182, -0.02240179000634362
4.09, 72.0, 200.88, -0.06073138125967979, -0.023166772116361287
4.1, 72.0, 201.59999999999997, -0.06043547158273636, -0.023928095924504036
4.11, 72.0, 202.32000000000005, -0.060130018444239756, -0.02468564120891713
4.12, 72.0, 203.04000000000008, -0.059815070078781535, -0.02543928834441825
4.13, 72.0, 203.76000000000005, -0.059490676220359626, -0.026188918321388116
4.14, 72.0, 204.48000000000002, -0.05915688809452471, -0.02693441276456349
4.15, 72.0, 205.20000000000005, -0.058813758410291246, -0.027675653951729776
4.16, 72.0, 205.92000000000007, -0.05846134135181409, -0.0284125248323107
4.17, 72.0, 206.64000000000004, -0.05809969256983213, -0.029144909045852138
4.18, 72.0, 207.36, -0.057728869172880386, -0.02987269094039673
4.19, 72.0, 208.0800000000001, -0.05734892971827191, -0.030595755590746718
4.2, 72.0, 208.80000000000007, -0.05695993420285111, -0.03131398881661155
4.21, 72.0, 209.52000000000004, -0.05656194405351915, -0.03202727720063899
4.22, 72.0, 210.24, -0.0561550221175343, -0.032735508106324446
4.23, 72.0, 210.9600000000001, -0.05573923265258734, -0.03343856969579802
4.24, 72.0, 211.68000000000006, -0.05531464131665494, -0.034136350947484274
4.25, 72.0, 212.40000000000003, -0.05488131515763096, -0.03482874167363482
4.26, 72.0, 213.12, -0.05443932260273922, -0.035515632537727486
4.2700000000000005, 72.0, 213.8400000000001, -0.053988733447727776, -0.03619691507173229
4.28, 72.0, 214.56000000000006, -0.05352961884584775, -0.03687248169323923
4.29, 72.0, 215.28000000000003, -0.05306205129661694, -0.03754222572244743
4.3, 72.0, 216.00000000000006, -0.05258610463437156, -0.03820604139901079
4.3100000000000005, 72.0, 216.72000000000008, -0.052101854016606934, -0.0388638238987388
4.32, 72.0, 217.44000000000005, -0.051609375912109255, -0.0395154693501494
4.33, 72.0, 218.16000000000008, -0.05110874808888017, -0.04016087485087181
4.34, 72.0, 218.88000000000005, -0.050600049601856496, -0.04079993848389557
4.3500000000000005, 72.0, 219.60000000000008, -0.050083360780426245, -0.041432559333664895
4.36, 72.0, 220.32000000000005, -0.049558763215744074, -0.042058637502013926
4.37, 72.0, 221.04000000000008, -0.04902633974784669, -0.04267807412394224
4.38, 72.0, 221.76000000000005, -0.048486174452571806, -0.04329077138322639
4.39, 72.0, 222.48000000000002, -0.047938352628281285, -0.04389663252786661
4.4, 72.0, 223.20000000000005, -0.04738296078239171, -0.044495561885364805
4.41, 72.0, 223.92000000000007, -0.046820086617713905, -0.04508746487783237
4.42, 72.0, 224.64000000000004, -0.04624981901860352, -0.045672248036925225
4.43, 72.0, 225.36, -0.045672248036925184, -0.04624981901860356
4.44, 72.0, 226.0800000000001, -0.045087464877832245, -0.04682008661771403
4.45, 72.0, 226.80000000000007, -0.044495561885364715, -0.0473829607823918
4.46, 72.0, 227.52000000000004, -0.043896632527866554, -0.04793835262828133
4.47, 72.0, 228.24, -0.04329077138322636, -0.04848617445257184
4.48, 72.0, 228.9600000000001, -0.04267807412394208, -0.04902633974784683
4.49, 72.0, 229.68000000000006, -0.042058637502013836, -0.04955876321574416
4.5, 72.0, 230.40000000000003, -0.04143255933366482, -0.05008336078042631
4.51, 72.0, 231.12, -0.040799938483895515, -0.05060004960185653
4.5200000000000005, 72.0, 231.8400000000001, -0.04016087485087167, -0.05110874808888028
4.53, 72.0, 232.56000000000006, -0.03951546935014928, -0.05160937591210935
4.54, 72.0, 233.28000000000003, -0.03886382389873869, -0.052101854016607003
4.55, 72.0, 234.00000000000006, -0.038206041399010716, -0.05258610463437161
4.5600000000000005, 72.0, 234.72000000000008, -0.0375422257224473, -0.05306205129661702
4.57, 72.0, 235.44000000000005, -0.036872481693239124, -0.05352961884584782
4.58, 72.0, 236.16000000000008, -0.036196915071732165, -0.05398873344772786
4.59, 72.0, 236.88000000000005, -0.03551563253772743, -0.05443932260273925
4.6000000000000005, 72.0, 237.60000000000008, -0.034828741673634714, -0.054881315157631026
4.61, 72.0, 238.32000000000005, -0.03413635094748419, -0.055314641316654985
4.62, 72.0, 239.04000000000008, -0.03343856969579784, -0.05573923265258745
4.63, 72.0, 239.76000000000005, -0.03273550810632442, -0.05615502211753432
4.64, 72.0, 240.48000000000002, -0.03202727720063896, -0.056561944053519164
4.65, 72.0, 241.20000000000005, -0.031313988816611446, -0.05695993420285116
4.66, 72.0, 241.92000000000007, -0.03059575559074656, -0.057348929718272
4.67, 72.0, 242.64000000000004, -0.029872690940396646, -0.05772886917288043
4.68, 72.0, 243.36, -0.02914490904585208, -0.058099692569832155
4.69, 72.0, 244.0800000000001, -0.028412524832310562, -0.05846134135181416
4.7, 72.0, 244.80000000000007, -0.027675653951729638, -0.05881375841029131
4.71, 72.0, 245.52000000000004, -0.02693441276456343, -0.05915688809452474
4.72, 72.0, 246.24, -0.02618891832138808, -0.05949067622035964
4.73, 72.0, 246.9600000000001, -0.025439288344418054, -0.05981507007878162
4.74, 72.0, 247.68000000000006, -0.024685641208917017, -0.0601300184442398
4.75, 72.0, 248.40000000000003, -0.02392809592450406, -0.06043547158273635
4.76, 72.0, 249.12, -0.023166772116361277, -0.06073138125967979
4.7700000000000005, 72.0, 249.8400000000001, -0.02240179000634353, -0.061017700747501846
4.78, 72.0, 250.56000000000006, -0.02163327039399405, -0.061294384833036224
4.79, 72.0, 251.28000000000003, -0.02086133463746858, -0.06156138982465839
4.8, 72.0, 252.00000000000006, -0.02008610463437154, -0.061818673559184995
4.8100000000000005, 72.0, 252.72000000000008, -0.01930770280250716, -0.06206619540853183
4.82, 72.0, 253.44000000000005, -0.01852625206054839, -0.062303916286129454
4.83, 72.0, 254.16000000000008, -0.017741875808626073, -0.0625317986530956
4.84, 72.0, 254.88000000000005, -0.01695469790884323, -0.06274980652416283
4.8500000000000005, 72.0, 255.60000000000008, -0.01616484266571548, -0.06295790547336104
4.86, 72.0, 256.32000000000005, -0.015372434806542075, -0.06315606263945382
4.87, 72.0, 257.0400000000001, -0.014577599461709684, -0.06334424673112754
4.88, 72.0, 257.76000000000005, -0.01378046214493351, -0.06352242803193259
4.89, 72.0, 258.48, -0.012981148733436462, -0.06369057840497605
4.9, 72.0, 259.20000000000005, -0.012179785448072045, -0.06384867129736478
4.91, 72.0, 259.9200000000001, -0.01137649883339288, -0.06399668174439836
4.92, 72.0, 260.64000000000004, -0.010571415737667365, -0.06413458637351144
4.93, 72.0, 261.36, -0.009764663292849187, -0.06426236340796442
4.94, 72.0, 262.0800000000001, -0.00895636889450139, -0.06437999267028234
4.95, 72.0, 262.80000000000007, -0.008146660181679685, -0.06448745558544107
4.96, 72.0, 263.52000000000004, -0.007335665016776269, -0.06458473518380055
4.97, 72.0, 264.24, -0.006523511465328978, -0.06467181610378452
4.98, 72.0, 264.9600000000001, -0.005710327775798194, -0.06474868459430622
4.99, 72.0, 265.68000000000006, -0.004896242359315565, -0.06481532851693991
5.0, 72.0, 266.40000000000003, -0.004081383769405359, -0.06487173734783766
5.01, 64.80000000000015, 267.084, -0.003306669155256857, -0.06491583735189489
5.0200000000000005, 57.59999999999967, 267.6960000000001, -0.0026131007085918537, -0.06494745341186794
5.03, 50.39999999999982, 268.23600000000005, -0.0020008783876744977, -0.06496919643706345
5.04, 43.199999999999974, 268.704, -0.0014701399905874238, -0.06498337239946905
5.05, 36.00000000000013, 269.1, -0.00102097562526835, -0.06499198111130794
5.0600000000000005, 28.799999999999642, 269.42400000000004, -0.0006534402651874753, -0.06499671542331836
5.07, 21.599999999999795, 269.67600000000004, -0.00036756438149655485, -0.064998960733426
5.08, 14.399999999999949, 269.85600000000005, -0.00016336264600517474, -0.06499979471233652
5.09, 7.200000000000102, 269.96400000000006, -4.0840701809419934e-05, -0.0649999871695147
5.1000000000000005, -3.836930773104541e-13, 270.00000000000006, 4.5791290988821444e-17, -0.065
